location,state,consumption-millions-gallons
Council Bluffs,IA,1010.2
Mayes County,OK,833.2
Berkeley County,SC,776.5
Papillion,NE,416.9
Douglas County,GA,366.9
The Dalles,OR,361.4
New Albany,OH,352.7
Lenoir,NC,327.8
Montgomery County,TN,321.8
Henderson,NV,207.4
Leesburg,VA,191.6
Jackson County,AL,182.8
Midlothian,TX,182.3
Sterling,VA,158.2
Lockbourne,OH,143.3
Lancaster,OH,101.1
Bristow,VA,84.4
Ashburn,VA,56
Omaha,NE,32.1
Storey County,NV,1.5
Wilmer,TX,0.2
Phoenix,AZ,0.03
Pflugerville,TX,0.01
